time,ref,sensor
8.41625,0.080308865,0.085668566
8.416875,0.07957733,0.085068779
8.4175,0.078730483,0.084414755
8.418125,0.077799197,0.08371652
8.41875,0.076815241,0.082980854
8.419375,0.07580496,0.082211064
8.42,0.074785477,0.081407991
8.420625,0.073763233,0.080571796
8.42125,0.072734957,0.079704233
8.421875,0.071692577,0.078811057
8.4225,0.070627509,0.077903005
8.423125,0.069536593,0.076995904
8.42375,0.068426118,0.076109085
8.424375,0.067312247,0.075262772
8.425,0.066220929,0.074474905
8.425625,0.065181891,0.073757602
8.42625,0.064224868,0.073114202
8.426875,0.063371924,0.072537634
8.4275,0.062631182,0.072010013
8.428125,0.061993601,0.071504725
8.42875,0.061431774,0.070989478
8.429375,0.060903748,0.070430215
8.43,0.060357445,0.069795659
8.430625,0.059739511,0.069061198
8.43125,0.05900206,0.068211557
8.431875,0.058110102,0.067241659
8.4325,0.057046622,0.066156871
8.433125,0.055813363,0.064970666
8.43375,0.054429137,0.063701752
8.434375,0.052926211,0.062370313
8.435,0.051343802,0.060995779
8.435625,0.049720698,0.059594121
8.43625,0.048089243,0.058177071
8.436875,0.046472024,0.056752103
8.4375,0.044880021,0.055323807
8.438125,0.043314069,0.053895017
8.43875,0.041767737,0.052469475
8.439375,0.040232818,0.051052889
8.44,0.038703938,0.049653672
8.440625,0.037180746,0.048282518
8.44125,0.035671533,0.046950812
8.441875,0.03419021,0.045668346
8.4425,0.032755379,0.044441688
8.443125,0.031385458,0.043271599
8.44375,0.030094368,0.042151987
8.444375,0.028885913,0.041069498
8.445,0.02775241,0.040004359
8.445625,0.026673752,0.038932893
8.44625,0.025619001,0.037829888
8.446875,0.024551457,0.036671614
8.4475,0.023432499,0.035438503
8.448125,0.022228084,0.03411713
8.44875,0.02091293,0.032700792
8.449375,0.01947377,0.031190283
8.45,0.017909917,0.029592082
8.450625,0.016232031,0.027916611
8.45125,0.014459391,0.02617598
8.451875,0.012615921,0.024382557
8.4525,0.010725625,0.022547193
8.453125,0.00880737,0.020679182
8.45375,0.006875089,0.018786293
8.454375,0.004935203,0.016875523
8.455,0.002988782,0.014954116
8.455625,0.001034,0.013031013
8.45625,-0.000930941,0.011117716
8.456875,-0.002903913,0.009228042
8.4575,-0.004877367,0.007377519
8.458125,-0.006836522,0.005582015
8.45875,-0.008761233,0.003855393
8.459375,-0.01062719,0.002207875
8.46,-0.012409477,0.000644297
8.460625,-0.014086037,-0.000837204
8.46125,-0.015642872,-0.002245363
8.461875,-0.017074938,-0.003594975
8.4625,-0.018388618,-0.004905118
8.463125,-0.019601349,-0.006196652
8.46375,-0.020738548,-0.007489607
8.464375,-0.021832256,-0.008800591
8.465,-0.022915434,-0.010140503
8.465625,-0.024018816,-0.011513857
8.46625,-0.025166639,-0.012917854
8.466875,-0.026375203,-0.014343527
8.4675,-0.027650236,-0.015777201
8.468125,-0.028987753,-0.017202734
8.46875,-0.030372973,-0.018603503
8.469375,-0.031785879,-0.01996466
8.47,-0.033203404,-0.021273786
8.470625,-0.034599207,-0.022522102
